180.532	864.105
185.731	873.474
190.925	886.211
196.115	911.158
201.304	933.79
206.487	962.632
211.669	984.737
216.845	1022.21
222.018	1044.63
227.188	1075.47
232.354	1106.32
237.519	1129.79
242.678	1148.42
247.834	1160.21
252.987	1166.32
258.136	1157.58
263.282	1146.42
268.424	1136.11
273.563	1106.63
278.697	1108.0
283.829	1091.05
288.958	1073.89
294.083	1067.05
299.204	1059.58
304.322	1042.21
309.438	1023.68
314.548	1022.11
319.656	1019.89
324.76	1027.79
329.862	1034.0
334.959	1039.05
340.054	1041.47
345.144	1052.42
350.231	1087.79
355.316	1098.74
360.396	1086.74
365.473	1099.79
370.546	1115.16
375.616	1136.74
380.685	1145.68
385.747	1166.0
390.808	1198.21
395.864	1195.79
400.918	1226.32
405.967	1258.42
411.016	1295.05
416.058	1360.84
421.098	1438.53
426.135	1537.79
431.167	1637.05
436.199	1770.63
441.225	1905.26
446.247	2017.58
451.268	2096.63
456.285	2108.11
461.297	2036.32
466.307	1890.32
471.314	1710.95
476.318	1540.0
481.318	1403.89
486.314	1309.05
491.307	1233.58
496.296	1182.74
501.283	1143.58
506.266	1121.26
511.246	1112.21
516.224	1107.58
521.199	1108.11
526.169	1102.42
531.133	1102.63
536.097	1102.84
541.057	1105.68
546.015	1113.05
550.969	1122.0
555.919	1127.58
560.867	1150.63
565.812	1165.89
570.753	1191.37
575.688	1220.74
580.623	1248.0
585.554	1290.42
590.483	1341.26
595.407	1398.53
600.327	1463.47
605.246	1534.0
610.16	1613.58
615.071	1691.47
619.981	1716.32
624.884	1701.58
629.787	1628.95
634.685	1529.47
639.581	1419.58
644.473	1330.84
649.362	1252.32
654.248	1198.84
659.13	1158.63
664.01	1127.68
668.886	1107.47
673.759	1092.95
678.629	1081.79
683.495	1072.21
688.359	1070.0
693.219	1064.0
698.075	1059.47
702.93	1063.68
707.78	1054.53
712.628	1043.26
717.471	1043.79
722.313	1032.63
727.151	1010.63
731.985	1003.47
736.818	994.526
741.646	985.684
746.471	968.316
751.293	961.052
756.112	954.316
760.928	945.158
765.742	939.368
770.551	939.474
775.357	935.684
780.16	928.737
784.96	925.895
789.758	921.579
794.552	925.053
799.343	922.842
804.13	927.263
808.915	925.474
813.697	922.421
818.475	918.632
823.251	917.158
828.024	911.368
832.792	906.737
837.558	901.053
842.321	902.526
847.081	901.579
851.837	894.737
856.592	894.421
861.342	889.789
866.09	880.316
870.834	880.947
875.575	880.211
880.313	878.947
885.049	875.789
889.781	876.947
894.51	873.263
899.236	871.474
903.96	878.105
908.678	872.105
913.397	874.105
918.11	872.421
922.82	874.526
927.53	877.263
932.234	876.211
936.935	872.526
941.634	881.158
946.33	874.526
951.022	884.421
955.712	886.0
960.398	887.158
965.081	886.421
969.764	892.421
974.441	890.316
979.116	899.684
983.787	888.421
988.455	901.789
993.121	897.789
997.784	901.684
1002.44	900.316
1007.1	900.842
1011.75	901.368
1016.4	900.947
1021.05	907.158
1025.69	907.368
1030.34	895.895
1034.98	899.368
1039.61	900.526
1044.25	909.789
1048.87	908.105
1053.5	904.0
1058.13	912.632
1062.75	913.474
1067.36	914.842
1071.98	915.684
1076.59	915.579
1081.2	919.684
1085.81	924.316
1090.41	916.105
1095.01	915.684
1099.61	922.0
1104.2	920.842
1108.79	926.737
1113.38	922.526
1117.97	931.158
1122.55	927.895
1127.13	927.263
1131.71	925.053
1136.28	926.947
1140.85	931.684
1145.42	936.737
1149.99	935.684
1154.55	934.105
1159.11	937.895
1163.66	939.579
1168.22	943.895
1172.77	938.947
1177.32	944.737
1181.86	945.368
1186.4	950.0
1190.94	945.579
1195.48	953.474
1200.01	948.105
1204.54	956.0
1209.07	951.579
1213.6	953.895
1218.12	957.053
1222.64	960.631
1227.15	954.737
1231.67	964.421
1236.18	960.842
1240.68	964.316
1245.19	969.158
1249.69	969.579
1254.19	977.053
1258.69	971.895
1263.18	982.211
1267.67	973.895
1272.16	972.0
1276.64	979.474
1281.13	978.105
1285.61	975.789
1290.08	980.211
1294.56	982.526
1299.03	983.158
1303.49	977.789
1307.96	976.211
1312.42	987.369
1316.88	979.474
1321.34	973.895
1325.79	985.684
1330.24	980.211
1334.69	985.053
1339.14	980.947
1343.58	983.684
1348.02	975.369
1352.46	986.632
1356.89	984.842
1361.32	983.474
1365.75	991.158
1370.18	990.947
1374.6	992.421
1379.02	993.368
1383.44	995.158
1387.86	993.579
1392.27	994.526
1396.68	995.158
1401.08	993.263
1405.49	986.842
1409.89	995.684
1414.29	990.105
